seccion,subcategoria,palabra,pista
sistemas,Campus,Sala de Cómputo de Sistemas,"Salón con computadores donde se realizan las prácticas de laboratorio"
sistemas,Campus,Biblioteca Eduardo Cote Lamus,"Edificio silencioso de varios pisos para consultar libros e investigar"
sistemas,Campus,Plazoleta de Telecomunicaciones,"Zona al aire libre muy concurrida cerca al edificio de ingeniería"
sistemas,Campus,Cafetería Central,"Punto de reunión para comprar empanadas, café o almorzar con amigos"
sistemas,Campus,Canchas de Microfútbol,"Zona de deportes detrás de las aulas para jugar partidos entre semestres"
sistemas,Campus,Edificio Fundadores,"Construcción histórica y representativa del campus universitario"
sistemas,Campus,Auditorio Eustorgio Colmenares,"Lugar ceremonial donde se realizan congresos, ponencias y grados"
sistemas,Campus,Jardín Botánico UFPS,"Espacio verde y natural ideal para descansar entre clases"
sistemas,Campus,Bienestar Universitario,"Lugar donde se gestionan apoyos socioeconómicos, salud y actividades culturales"
sistemas,Campus,Parqueadero de Motos,"Zona concurrida donde la mayoría de estudiantes dejan sus vehículos"
sistemas,Comunidad,Monitor de Laboratorio,"Estudiante de semestre superior que te ayuda a depurar el código"
sistemas,Comunidad,Tesista de Grado,"Estudiante de último semestre redactando su proyecto final de carrera"
sistemas,Comunidad,Representante Estudiantil,"Voz elegida por los estudiantes ante los comités de la universidad"
sistemas,Comunidad,Estudiante Primíparo,"Persona recién ingresada perdida buscando los salones el primer día"
sistemas,Comunidad,Cancelación de Semestre,"Trámite temido cuando no dan los tiempos ni los parciales"
sistemas,Comunidad,Semana Universitaria,"Días festivos con comparsas, actividades deportivas y conciertos"
sistemas,Comunidad,Venta de Empanadas,"Emprendimiento clásico para financiar las fotocopias y el almuerzo"
sistemas,Conceptos IT,Docker Container,"Contenedor liviano que empaqueta una aplicación con todas sus dependencias"
sistemas,Conceptos IT,Git Merge Conflict,"Problema que surge cuando dos personas modifican las mismas líneas de código"
sistemas,Conceptos IT,API REST,"Interfaz de comunicación entre aplicaciones mediante endpoints HTTP y JSON"
sistemas,Conceptos IT,Base de Datos PostgreSQL,"Sistema gestor de bases de datos relacionales potente y de código abierto"
sistemas,Conceptos IT,Servidor Linux,"Sistema operativo robusto y seguro preferido para producción en servidores"
sistemas,Conceptos IT,Pull Request,"Solicitud formal en GitHub o GitLab para fusionar cambios en la rama principal"
sistemas,Conceptos IT,Token JWT,"Cadena codificada utilizada para autenticar usuarios de forma segura y sin estado"
sistemas,Conceptos IT,Microservicios,"Arquitectura donde una aplicación se divide en pequeños servicios independientes"
sistemas,Conceptos IT,Bug en Producción,"Error inesperado que ocurre justo frente a los usuarios reales"
sistemas,Conceptos IT,Frontend React,"Librería moderna para crear interfaces de usuario interactivas con componentes"
sistemas,Conceptos IT,Deploy en la Nube,"Acción de publicar y poner en línea una app en servidores como AWS o Render"
sistemas,Conceptos IT,Scrum Daily,"Reunión diaria de 15 minutos para sincronizar el avance del equipo"
sistemas,Conceptos IT,Stack Overflow,"Sitio web salvador donde los programadores buscan soluciones a sus errores"
sistemas,Conceptos IT,Null Pointer Exception,"Error clásico que ocurre al intentar acceder a una referencia inexistente"
sistemas,Conceptos IT,Recursión Infinita,"Función que se llama a sí misma sin condición de parada hasta agotar la pila"
sistemas,Conceptos IT,Red Neuronal Artificial,"Modelo bioinspirado de aprendizaje automático para reconocer patrones"
general,Videojuegos,THE LEGEND OF ZELDA,"Aventura legendaria en el reino de Hyrule explorando templos y santuarios"
general,Videojuegos,MINECRAFT,"Mundo abierto cúbico de bloques, supervivencia, construcción y crafteo"
general,Videojuegos,GRAND THEFT AUTO,"Saga de acción criminal y misiones en ciudades abiertas colosales"
general,Videojuegos,SUPER MARIO BROS,"Fontanero que recorre mundos saltando sobre tuberías para rescatar a la princesa"
general,Videojuegos,LEAGUE OF LEGENDS,"Juego competitivo de estrategia 5v5 en la Grieta del Invocador"
general,Videojuegos,ELDEN RING,"Mundo de fantasía oscura con jefes gigantes y combate muy desafiante"
general,Videojuegos,GOD OF WAR,"Kratos enfrentando dioses mitológicos con sus hachas y espadas del caos"
general,Videojuegos,VALORANT,"Shooter táctico en primera persona por rondas con agentes y habilidades"
general,Videojuegos,EA SPORTS FC,"Simulador de fútbol con licencias oficiales, partidos online y cartas Ultimate"
general,Videojuegos,CYBERPUNK 2077,"Futuro distópico con implantes cibernéticos e historias en Night City"
general,Videojuegos,FORTNITE,"Battle Royale donde 100 jugadores caen en una isla para construir y combatir"
general,Videojuegos,CALL OF DUTY,"Shooter bélico militar con partidas multijugador frenéticas y modo Warzone"
general,Videojuegos,RESIDENT EVIL,"Saga clásica de terror y supervivencia contra zombis y armas biológicas"
general,Videojuegos,POKÉMON,"Aventura para capturar criaturas con poderes, ganar medallas y ser el mejor"
general,Videojuegos,AMONG US,"Juego de deducción social en una nave espacial buscando al impostor"
general,Videojuegos,CLASH ROYALE,"Duelos de cartas y torres en tiempo real con duendes, arqueras y gigantes"
general,Comida,PIZZA,"Base de masa horneada con salsa de tomate, queso derretido y toppings"
general,Comida,HAMBURGUESA DOBLE,"Carne jugosa a la parrilla entre dos panes con queso cheddar y vegetales"
general,Comida,TACOS AL PASTOR,"Tortillas de maíz con carne adobada, trocitos de piña fresca, cebolla y cilantro"
general,Comida,SUSHI ROLL,"Rollitos tradicionales de arroz sazonado, alga nori, pescado fresco o aguacate"
general,Comida,AREPA CON QUESO,"Masa redonda de maíz asada a la plancha con queso fundido y mantequilla"
general,Comida,LASAÑA BOLOÑESA,"Capas de pasta intercaladas con salsa de carne, bechamel y queso gratinado"
general,Comida,EMPANADAS DE POLLO,"Masa frita crocante rellena de guiso de pollo con papas"
general,Comida,CEVICHE PERUANO,"Pescado crudo marinado en zumo de limón fresco con cebolla morada y ají"
general,Comida,RAMEN JAPONÉS,"Tazón hondo de fideos en caldo caliente con huevo marinado y cortes de carne"
general,Comida,SALCHIPAPA COSTEÑA,"Papas a la francesa fritas con salchichas picadas, queso costeño y salsas"
general,Comida,BANDEJA PAISA,"Plato típico con frijoles, arroz, chicharrón, carne molida, huevo frito y tajada"
general,Comida,PERRO CALIENTE,"Salchicha en pan alargado cubierta de salsas, papas trituradas y queso derretido"
general,Peliculas,HARRY POTTER,"Joven mago huérfano que descubre su destino en el colegio Hogwarts"
general,Peliculas,TITANIC,"Romance inolvidable a bordo del trasatlántico más famoso antes de hundirse"
general,Peliculas,INCEPTION,"Misión de espionaje dentro de los sueños y el subconsciente humano"
general,Peliculas,INTERSTELLAR,"Viaje intergaláctico a través de un agujero negro buscando un planeta habitable"
general,Peliculas,SPIDER-MAN,"Joven que obtiene poderes arácnidos y aprende que un gran poder conlleva responsabilidad"
general,Peliculas,EL PADRINO,"Obra maestra sobre el poder, la lealtad y la mafia de la familia Corleone"
general,Peliculas,AVENGERS ENDGAME,"Superhéroes unidos para recolectar las gemas del infinito y revertir el chasquido"
general,Peliculas,JURASSIC PARK,"Parque temático donde científicos clonan dinosaurios que pierden el control"
general,Peliculas,BATMAN EL CABALLERO DE LA NOCHE,"El vigilante de Ciudad Gótica enfrentando el caos provocado por el Guasón"
general,Peliculas,EL SEÑOR DE LOS ANILLOS,"Viaje épico a Mordor para destruir el anillo único y salvar la Tierra Media"
general,Peliculas,MATRIX,"Hacker que descubre que el mundo real está dominado por máquinas inteligentes"
general,Peliculas,SHREK,"Ogro verde de un pantano que rescata a una princesa con la ayuda de un burro parlanchín"
general,Series,BREAKING BAD,"Profesor de química con cáncer que entra al negocio de la metanfetamina"
general,Series,STRANGER THINGS,"Grupo de niños en los 80s que descubren experimentos secretos y el Mundo del Revés"
general,Series,GAME OF THRONES,"Familias nobles compitiendo violentamente por el Trono de Hierro de Poniente"
general,Series,THE LAST OF US,"Viaje de supervivencia a través de un mundo devastado por una plaga de hongos"
general,Series,PEAKY BLINDERS,"Banda criminal de hermanos en Birmingham con navajas ocultas en sus gorras"
general,Series,LA CASA DE PAPEL,"Atraco meticulosamente planeado a la Fábrica Nacional de Moneda por 'El Profesor'"
general,Series,THE BOYS,"Grupo clandestino que intenta desenmascarar a superhéroes corruptos"
general,Series,THE OFFICE,"Divertida comedia en formato falso documental sobre una oficina de venta de papel"
general,Anime,DRAGON BALL Z,"Guerreros Saiyajin defendiendo la Tierra con rayos de energía y transformaciones"
general,Anime,ATTACK ON TITAN,"Humanidad refugiada tras murallas gigantes para protegerse de titanes devoradores"
general,Anime,NARUTO SHIPPUDEN,"Joven ninja marginado que sueña con ser el líder Hokage de su aldea"
general,Anime,ONE PIECE,"Piratas de Sombrero de Paja navegando en busca del tesoro más grande del mundo"
general,Anime,DEATH NOTE,"Estudiante brillante que encuentra un cuaderno con el poder de causar la muerte"
general,Anime,DEMON SLAYER,"Joven espadachín que caza demonios para curar y vengar a su hermana"
general,Anime,JUJUTSU KAISEN,"Hechiceros modernos que combaten maldiciones sobrenaturales con energía oscura"
general,Anime,EVANGELION,"Jóvenes pilotos controlando robots biomecánicos gigantes para salvar el mundo"
general,Deportes,FÚTBOL,"Dos equipos de 11 jugadores buscan anotar un balón esférico en la portería rival"
general,Deportes,BALONCESTO,"Juego dinámico donde los atletas anotan encestando una pelota en un aro elevado"
general,Deportes,FÓRMULA 1,"Campeonato mundial de monoplazas a más de 300 km/h en circuitos de carreras"
general,Deportes,TENIS,"Duelo de raquetas pasando una pelota amarilla por encima de una red central"
general,Deportes,CICLISMO,"Competencia de resistencia en bicicleta por etapas de alta montaña y contrarreloj"
general,Deportes,NATACIÓN,"Carrera acuática de velocidad y resistencia en estilos como libre y mariposa"
general,Deportes,VOLEIBOL,"Deporte donde se golpea el balón con las manos para evitar que caiga en tu campo"
general,Deportes,BOXEO,"Combate cuerpo a cuerpo con guantes en un cuadrilátero bajo asaltos reglamentados"
general,Paises,COLOMBIA,"País sudamericano bañado por dos océanos, famoso por su café y biodiversidad"
general,Paises,JAPÓN,"Nación insular asiática famosa por sus cerezos, tecnología avanzada y anime"
general,Paises,ITALIA,"País europeo con forma de bota, cuna del Imperio Romano y gastronomía clásica"
general,Paises,MÉXICO,"Nación con rica herencia prehispánica, mariachis, tacos y playas caribeñas"
general,Paises,ALEMANIA,"Potencia industrial europea con castillos históricos y famosas autopistas"
general,Paises,BRASIL,"País sudamericano con la mayor selva amazónica, carnaval y pasión por el fútbol"
general,Paises,CANADÁ,"País del norte con bosques inmensos, bajas temperaturas y la hoja de arce"
general,Paises,EGIPTO,"Nación africana milenaria atravesada por el río Nilo y rodeada de pirámides"
general,Paises,FRANCIA,"País europeo famoso por la Torre Eiffel, los museos de arte y los croissants"
general,Paises,ARGENTINA,"Tierra del tango, la Patagonia, el asado y grandes leyendas del fútbol"
